edge_threshold,min_odds,stake_method,stake_size,ev_method,max_stake_pct,roi,win_rate,profit,max_drawdown,sharpe_ratio,prediction_accuracy,total_return_pct,avg_odds,avg_bet_size,total_bets,winning_bets,total_staked,total_returns,final_bankroll
0.05,1.3,kelly,0.5,basic,0.1,-0.9928961300000007,0.5310344827586206,-9928.961300000006,0.9965388627784217,-0.7346271856515402,0.0,-0.9928961300000005,1.942857142857143,240.7823054187192,1015,539,244394.04000000007,234465.0787000001,71.03869999999434
0.05,1.3,fixed,0.02,basic,0.1,-0.41676792999999973,0.5310344827586206,-4167.679299999997,0.5955990129485058,-0.7274941758187264,0.0,-0.4167679299999997,1.942857142857143,151.66415763546797,1015,539,153939.11999999976,149771.44070000012,5832.320700000003
0.05,1.3,fixed,0.02,kelly_enhanced,0.1,-0.1648265099999986,0.5078534031413613,-1648.265099999986,0.3295768608676743,-0.31418385866988635,0.0,-0.1648265099999986,2.016256544502618,195.850445026178,382,194,74814.86999999994,73166.60489999995,8351.734900000014
0.05,1.3,kelly,0.5,kelly_enhanced,0.1,-0.9135876899999988,0.5078534031413613,-9135.876899999988,0.9594343118161274,-0.3520770543426366,0.0,-0.9135876899999987,2.016256544502618,585.0692931937172,382,194,223496.4699999998,214360.5931000001,864.1231000000124
0.05,1.8,fixed,0.02,basic,0.1,-0.29710043999999997,0.4406779661016949,-2971.0044,0.4964101997004113,-0.5184815084211953,0.0,-0.29710044,2.2780225988700566,171.58022598870056,531,234,91109.10000000002,88138.09559999997,7028.9956
0.05,1.8,kelly,0.5,basic,0.1,-0.9351878799999993,0.4406779661016949,-9351.878799999993,0.9615529119638074,-0.2823138769965871,0.0,-0.9351878799999994,2.2780225988700566,290.54657250470814,531,234,154280.23000000013,144928.35119999986,648.1212000000063
0.05,1.8,fixed,0.02,kelly_enhanced,0.1,-0.16377462999999953,0.44534412955465585,-1637.7462999999952,0.2960234561725348,-0.3738543041003634,0.0,-0.16377462999999948,2.233076923076923,188.96267206477734,247,110,46673.77999999998,45036.0337,8362.253700000005
0.05,1.8,kelly,0.5,kelly_enhanced,0.1,-0.8770150299999998,0.44534412955465585,-8770.150299999998,0.9163220032973839,-0.34984411476320193,0.0,-0.8770150299999997,2.233076923076923,488.3725506072874,247,110,120628.01999999992,111857.86969999998,1229.8497000000027
0.1,1.3,fixed,0.02,basic,0.1,-0.4479448399999992,0.5175332527206772,-4479.448399999992,0.580736801306618,-0.9136850907040174,0.0,-0.44794483999999923,1.962515114873035,147.49351874244257,827,428,121977.13999999991,117497.69159999996,5520.551600000008
0.1,1.3,kelly,0.5,basic,0.1,-0.9947853899999991,0.5175332527206772,-9947.853899999991,0.9971729967589333,-0.8960506703922343,0.0,-0.9947853899999992,1.962515114873035,246.27095525997584,827,428,203666.0800000004,193718.22610000023,52.14610000000818
0.1,1.3,fixed,0.02,kelly_enhanced,0.1,-0.1652547099999998,0.3875,-1652.547099999998,0.266663689661315,-0.8376527673341169,0.0,-0.1652547099999998,2.334625,173.772625,80,31,13901.810000000005,12249.2629,8347.452900000002
0.1,1.3,kelly,0.5,kelly_enhanced,0.1,-0.73421838,0.3875,-7342.1838,0.8475085595261342,-0.7764497081534212,0.0,-0.73421838,2.334625,456.5268749999999,80,31,36522.15000000001,29179.9662,2657.8162
0.1,1.8,fixed,0.02,basic,0.1,-0.2096794899999998,0.44298245614035087,-2096.794899999998,0.41655672354676704,-0.312718507776135,0.0,-0.20967948999999986,2.272258771929825,177.00212719298247,456,202,80712.97000000004,78616.17510000001,7903.205100000002
0.1,1.8,kelly,0.5,basic,0.1,-0.927633709999999,0.44298245614035087,-9276.33709999999,0.9512072348122215,-0.24664368188150976,0.0,-0.927633709999999,2.272258771929825,312.2583991228071,456,202,142389.83000000005,133113.4929000001,723.6629000000105
0.1,1.8,fixed,0.02,kelly_enhanced,0.1,-0.17677952999999944,0.379746835443038,-1767.7952999999943,0.2767877369015739,-0.9081579358663207,0.0,-0.17677952999999946,2.3426582278481014,171.75493670886078,79,30,13568.64,11800.844700000005,8232.204700000006
0.1,1.8,kelly,0.5,kelly_enhanced,0.1,-0.7516091600000002,0.379746835443038,-7516.0916000000025,0.857487003406453,-0.8416020693197834,0.0,-0.7516091600000002,2.3426582278481014,435.5102531645571,79,30,34405.31000000002,26889.218399999998,2483.9083999999975
